CallID,SeverityLevel,LocationCode,Timestamp,EstimatedResponseTime
400000,2,LOC_7,2024-01-01 00:00:00,52
400001,5,LOC_63,2024-01-01 00:00:02,19
400002,3,LOC_189,2024-01-01 00:00:04,11
400003,9,LOC_23,2024-01-01 00:00:06,42
400004,7,LOC_9,2024-01-01 00:00:08,6
400005,2,LOC_56,2024-01-01 00:00:10,19
400006,9,LOC_155,2024-01-01 00:00:12,6
400007,9,LOC_51,2024-01-01 00:00:14,50
400008,9,LOC_108,2024-01-01 00:00:16,19
400009,8,LOC_151,2024-01-01 00:00:18,22
400010,1,LOC_195,2024-01-01 00:00:20,56
400011,3,LOC_179,2024-01-01 00:00:22,32
400012,6,LOC_72,2024-01-01 00:00:24,14
400013,4,LOC_196,2024-01-01 00:00:26,26
400014,2,LOC_24,2024-01-01 00:00:28,29
400015,2,LOC_92,2024-01-01 00:00:30,59
400016,6,LOC_155,2024-01-01 00:00:32,21
400017,1,LOC_187,2024-01-01 00:00:34,34
400018,9,LOC_32,2024-01-01 00:00:36,29
400019,2,LOC_142,2024-01-01 00:00:38,23
400020,10,LOC_93,2024-01-01 00:00:40,41
400021,4,LOC_181,2024-01-01 00:00:42,9
400022,1,LOC_170,2024-01-01 00:00:44,19
400023,5,LOC_21,2024-01-01 00:00:46,59
400024,4,LOC_26,2024-01-01 00:00:48,29
400025,5,LOC_117,2024-01-01 00:00:50,45
400026,6,LOC_42,2024-01-01 00:00:52,28
400027,6,LOC_54,2024-01-01 00:00:54,47
400028,5,LOC_180,2024-01-01 00:00:56,48
400029,2,LOC_156,2024-01-01 00:00:58,45
400030,3,LOC_137,2024-01-01 00:01:00,51
400031,4,LOC_42,2024-01-01 00:01:02,34
400032,7,LOC_70,2024-01-01 00:01:04,45
400033,9,LOC_57,2024-01-01 00:01:06,48
400034,6,LOC_197,2024-01-01 00:01:08,54
400035,1,LOC_59,2024-01-01 00:01:10,57
400036,1,LOC_81,2024-01-01 00:01:12,30
400037,5,LOC_17,2024-01-01 00:01:14,18
400038,10,LOC_184,2024-01-01 00:01:16,25
400039,4,LOC_168,2024-01-01 00:01:18,36
400040,7,LOC_165,2024-01-01 00:01:20,34
400041,3,LOC_68,2024-01-01 00:01:22,13
400042,4,LOC_191,2024-01-01 00:01:24,40
400043,9,LOC_68,2024-01-01 00:01:26,52
400044,10,LOC_110,2024-01-01 00:01:28,42
400045,7,LOC_93,2024-01-01 00:01:30,19
400046,3,LOC_131,2024-01-01 00:01:32,36
400047,2,LOC_194,2024-01-01 00:01:34,8
400048,2,LOC_40,2024-01-01 00:01:36,45
400049,3,LOC_175,2024-01-01 00:01:38,32
400050,10,LOC_17,2024-01-01 00:01:40,29
400051,7,LOC_153,2024-01-01 00:01:42,34
400052,9,LOC_65,2024-01-01 00:01:44,40
400053,1,LOC_175,2024-01-01 00:01:46,51
400054,2,LOC_175,2024-01-01 00:01:48,39
400055,5,LOC_197,2024-01-01 00:01:50,46
400056,6,LOC_29,2024-01-01 00:01:52,23
400057,7,LOC_41,2024-01-01 00:01:54,34
400058,1,LOC_185,2024-01-01 00:01:56,51
400059,5,LOC_129,2024-01-01 00:01:58,53
